Open,High,Low,Close,Volume,SMA_50,EMA_50,RSI,Stoch_RSI,Williams_R,Awesome_Oscillator,MACD,MACD_Signal,MACD_Diff,TSI,KAMA,ROC,Vortex_Diff,TRIX,Mass_Index,CCI,DPO,Ichimoku_A,Ichimoku_B,Aroon_Up,Aroon_Down,Aroon_Indicator,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_PBand,Bollinger_WBand,Keltner_Channel_Center,Keltner_Channel_Upper,Keltner_Channel_Lower,Donchian_Channel_Upper,Donchian_Channel_Lower,ATR,OBV,Chaikin_MF,Force_Index,Ease_of_Movement,Volume_Price_Trend,VWAP,SMA_200,EMA_200,ADX,Vortex_Pos,Vortex_Neg
-0.10036941,-0.1023768,-0.09836202,-0.10036941,5193.0,,,,,,,,,,,,,,,,,,,-0.1003694087266922,,,,,,,,,,-0.10438418388366699,-0.09635463356971741,,,0.0,5193.0,,,,,,,,0.0,,
-0.10036941,-0.10666619,-0.10248321,-0.1045747,26326.0,,,,,,,,,,,,,,,,,,,-0.10243000462651253,,,,,,,,,,-0.10657093301415443,-0.0983731783926487,,,0.0,-21133.0,,,0.06681857820891986,1103.0102064609528,,,,0.0,,
-0.1045747,-0.105295576,-0.101166345,-0.10323096,8708.0,,,,,,,,,,,,,,,,,,,-0.10243000462651253,,,,,,,,,,-0.10683401922384898,-0.098616028825442,,,0.0,-12425.0,,,-0.06371866301064176,991.1161568164825,,,,0.0,,
-0.10323096,-0.10589751,-0.101744674,-0.10382109,9882.0,,,,,,,,,,,,,,,,,,,-0.10243000462651253,,,,,,,,,,-0.107118995860219,-0.09887908585369587,,,0.0,-22307.0,,,0.0247997885152463,1047.6072251796722,,,,0.0,,
-0.10382109,-0.10472505,-0.10061818,-0.102671616,13324.0,,,,,,,,,,,,,,,,,,,-0.10243000462651253,,,,,,,,,,-0.10705089271068573,-0.09881621897220612,,,0.0,-8983.0,,,-0.035430354510692735,900.0881345272064,,,,0.0,,
-0.102671616,-0.10287313,-0.098838896,-0.10085601,5103.0,,,,,,,,,,,,,,,,,,,-0.10243000462651253,,,,,,,,,,-0.10669078553716342,-0.09848381206393242,,,0.0,-3880.0,,,-0.14353454501776278,809.8488991856575,,,,0.0,,
-0.10085601,-0.10332715,-0.099275105,-0.101301126,6451.0,,,,,,,,,,,,,,,,,,,-0.10243000462651253,,,,,,,,,,-0.10649969748088292,-0.09830742222922188,,,0.0,-10331.0,,,0.027958693305023825,838.3195253014565,,,,0.0,,
-0.101301126,-0.10581015,-0.10166074,-0.10373545,6156.0,,,,,,,,,,,,,,,,,,,-0.10243000462651253,,,,,,,,,,-0.10667284205555916,-0.09846724942326546,,,0.0,-16487.0,,,0.16408362930594889,986.2516909241676,,,,0.0,,
-0.10373545,-0.103395045,-0.099340335,-0.10136769,31378.0,,,,,,,,,,,,,,,,,,,-0.10243000462651253,,,,,,,,,,-0.10653390404250887,-0.09833899719847573,,,0.0,14891.0,,,-0.03059649972351176,270.05062741041183,,,,0.0,,
-0.10136769,-0.10576128,-0.10161378,-0.10368753,5315.0,,,,,,,,,,,-0.10368753224611282,,,,,,,,-0.10243000462651253,,,,,,,,,,-0.1066640168428421,-0.09845910072326661,,,0.0,9576.0,,,0.18102627034892213,391.68675047159195,,,,0.0,,
